Datacode,Rectype,Season,Year,Plot,Sample,AndroL,AndroD,AndroT,SorgL,SorgD,SorgT,SolidagoL,SolidgoD,SolidagoT,GrassL,GrassD,GrassT,ForbL,ForbD,ForbT,WoodL,WoodD,WoodT,Total
CEE01,3,early,2011,101,1,65,0,65,4,0,4,7,0,7,5,0,5,5,1,6,0,0,0,87
CEE01,3,early,2011,102,2,92,0,92,16,0,16,8,0,8,1,0,1,5,1,6,0,0,0,123
CEE01,3,early,2011,103,3,77,4,81,0,0,0,11,0,11,1,0,1,1,0,1,0,0,0,94
CEE01,3,early,2011,104,4,7,0,7,11,1,12,16,0,16,3,0,3,0,0,0,0,0,0,38
CEE01,3,early,2011,105,5,17,0,17,7,0,7,8,1,9,0,0,0,0,0,0,0,0,0,33
CEE01,3,early,2011,106,6,13,0,13,24,0,24,15,0,15,4,0,4,3,0,3,0,0,0,59
CEE01,3,early,2011,107,7,35,1,36,9,1,10,10,0,10,0,0,0,0,0,0,0,0,0,56
CEE01,3,early,2011,108,8,45,5,50,39,0,39,12,0,12,5,0,5,3,0,3,0,0,0,109
CEE01,3,early,2011,109,9,28,0,28,20,0,20,4,0,4,17,0,17,8,0,8,0,0,0,77
CEE01,3,early,2011,110,10,13,0,13,28,0,28,10,0,10,26,0,26,5,0,5,0,0,0,82
CEE01,3,early,2011,201,11,81,3,84,30,0,30,1,0,1,21,0,21,0,0,0,0,0,0,136
CEE01,3,early,2011,202,12,86,0,86,25,0,25,3,0,3,4,0,4,1,0,1,0,0,0,119
CEE01,3,early,2011,203,13,65,1,66,0,0,0,9,1,10,3,0,3,3,1,4,0,0,0,83
CEE01,3,early,2011,204,14,42,1,43,12,0,12,5,3,8,3,0,3,5,0,5,0,0,0,71
CEE01,3,early,2011,205,15,38,1,39,8,1,9,7,0,7,21,4,25,3,0,3,0,0,0,83
CEE01,3,early,2011,206,16,36,3,39,5,0,5,4,0,4,2,0,2,0,0,0,0,0,0,50
CEE01,3,early,2011,207,17,66,0,66,40,0,40,2,0,2,1,0,1,8,0,8,0,0,0,117
CEE01,3,early,2011,208,18,44,2,46,0,0,0,2,0,2,10,0,10,6,0,6,0,0,0,64
CEE01,3,early,2011,209,19,22,1,23,26,0,26,3,0,3,40,0,40,13,0,13,0,0,0,105
CEE01,3,early,2011,210,20,42,0,42,42,1,43,10,0,10,9,0,9,0,0,0,0,0,0,104
CEE01,3,early,2011,301,21,59,0,59,7,0,7,12,0,12,3,0,3,0,0,0,0,0,0,81
CEE01,3,early,2011,302,22,55,1,56,23,1,24,21,0,21,4,0,4,3,0,3,0,0,0,108
CEE01,3,early,2011,303,23,56,1,57,1,0,1,14,0,14,6,0,6,7,0,7,0,0,0,85
CEE01,3,early,2011,304,24,24,0,24,16,0,16,21,0,21,6,0,6,5,0,5,,,0,72
CEE01,3,early,2011,305,25,84,0,84,17,0,17,6,0,6,28,0,28,3,0,3,0,0,0,138
CEE01,3,early,2011,306,26,14,0,14,0,0,0,9,0,9,10,0,10,3,0,3,0,0,0,36
CEE01,3,early,2011,307,27,18,0,18,17,0,17,5,0,5,8,0,8,1,0,1,2,0,2,51
CEE01,3,early,2011,308,28,19,0,19,102,1,103,5,0,5,14,0,14,2,0,2,0,0,0,143
CEE01,3,early,2011,309,29,53,0,53,44,0,44,12,0,12,7,0,7,1,0,1,7,0,7,124
CEE01,3,early,2011,310,30,25,0,25,27,0,27,12,0,12,10,0,10,0,0,0,0,0,0,74
CEE01,3,early,2011,401,31,64,0,64,21,0,21,6,0,6,1,0,1,0,0,0,0,0,0,92
CEE01,3,early,2011,402,32,70,1,71,49,0,49,1,0,1,25,0,25,5,0,5,0,0,0,151
CEE01,3,early,2011,403,33,76,3,79,20,0,20,7,0,7,6,0,6,2,0,2,0,0,0,114
CEE01,3,early,2011,404,34,60,1,61,16,0,16,0,2,2,4,0,4,0,0,0,0,0,0,83
CEE01,3,early,2011,405,35,27,0,27,2,0,2,8,0,8,28,0,28,5,0,5,0,0,0,70
CEE01,3,early,2011,406,36,25,0,25,59,0,59,5,0,5,18,0,18,1,0,1,0,0,0,108
CEE01,3,early,2011,407,37,51,0,51,36,4,40,4,1,5,26,3,29,1,0,1,0,0,0,126
CEE01,3,early,2011,408,38,70,0,70,6,0,6,4,0,4,27,1,28,3,0,3,0,0,0,111
CEE01,3,early,2011,409,39,93,0,93,6,0,6,8,0,8,21,0,21,3,0,3,0,0,0,131
CEE01,3,early,2011,410,40,58,0,58,6,0,6,4,0,4,11,0,11,7,0,7,0,0,0,86
CEE01,3,Late,2011,101,1,22,5,27,6,0,6,7,0,7,11,0,11,5,0,5,0,0,0,56
CEE01,3,Late,2011,102,2,22,6,28,23,1,24,7,0,7,0,0,0,1,0,1,0,0,0,60
CEE01,3,Late,2011,103,3,47,1,48,0,0,0,8,0,8,1,0,1,1,0,1,0,0,0,58
CEE01,3,Late,2011,104,4,4,0,4,10,0,10,13,0,13,1,0,1,0,0,0,0,0,0,28
CEE01,3,Late,2011,105,5,6,0,6,9,2,11,10,0,10,0,0,0,0,0,0,0,0,0,27
CEE01,3,Late,2011,106,6,8,0,8,31,3,34,14,0,14,4,0,4,0,0,0,0,0,0,60
CEE01,3,Late,2011,107,7,18,0,18,27,0,27,12,0,12,0,0,0,0,0,0,0,0,0,57
CEE01,3,Late,2011,108,8,21,5,26,38,1,39,3,0,3,1,0,1,2,0,2,0,0,0,71
CEE01,3,Late,2011,109,9,16,3,19,25,0,25,2,0,2,13,0,13,3,0,3,0,0,0,62
CEE01,3,Late,2011,110,10,14,1,15,22,1,23,8,0,8,12,0,12,0,0,0,0,0,0,58
CEE01,3,Late,2011,201,11,63,6,69,22,1,23,0,1,1,14,0,14,0,0,0,0,0,0,107
CEE01,3,Late,2011,202,12,55,6,61,20,1,21,0,1,1,0,0,0,2,0,2,0,0,0,85
CEE01,3,Late,2011,203,13,54,1,55,0,0,0,7,2,9,1,0,1,2,0,2,0,0,0,67
CEE01,3,Late,2011,204,14,34,0,34,13,0,13,0,5,5,3,0,3,3,0,3,0,0,0,58
CEE01,3,Late,2011,205,15,41,2,43,9,2,11,2,2,4,27,1,28,0,0,0,0,0,0,86
CEE01,3,Late,2011,206,16,28,4,32,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,39
CEE01,3,Late,2011,207,17,46,0,46,36,0,36,0,2,2,0,0,0,8,0,8,0,0,0,92
CEE01,3,Late,2011,208,18,22,5,27,3,0,3,3,0,3,1,0,1,8,0,8,0,0,0,42
CEE01,3,Late,2011,209,19,19,1,20,17,2,19,1,0,1,26,1,27,1,0,1,0,0,0,68
CEE01,3,Late,2011,210,20,25,0,25,7,4,11,9,1,10,5,0,5,0,0,0,0,0,0,51
CEE01,3,Late,2011,301,21,46,3,49,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,50
CEE01,3,Late,2011,302,22,23,0,23,6,6,12,0,0,0,3,0,3,2,0,2,0,0,0,40
CEE01,3,Late,2011,303,23,30,1,31,5,0,5,7,0,7,4,0,4,2,0,2,0,0,0,49
CEE01,3,Late,2011,304,24,16,0,16,6,3,9,6,0,6,5,0,5,0,0,0,0,0,0,36
CEE01,3,Late,2011,305,25,42,11,53,18,3,21,4,2,6,14,1,15,3,0,3,0,0,0,98
CEE01,3,Late,2011,306,26,8,0,8,0,0,0,10,0,10,12,0,12,1,0,1,0,0,0,31
CEE01,3,Late,2011,307,27,7,2,9,18,8,26,4,0,4,4,0,4,1,0,1,1,0,1,45
CEE01,3,Late,2011,308,28,16,2,18,89,7,96,5,0,5,9,2,11,0,0,0,1,0,1,131
CEE01,3,Late,2011,309,29,29,2,31,32,3,35,2,0,2,7,0,7,1,0,1,2,0,2,78
CEE01,3,Late,2011,310,30,25,1,26,37,2,39,10,1,11,6,0,6,1,0,1,0,0,0,83
CEE01,3,Late,2011,401,31,51,0,51,21,0,21,7,0,7,1,0,1,0,0,0,0,0,0,80
CEE01,3,Late,2011,402,32,26,0,26,31,3,34,0,0,0,90,1,91,1,0,1,0,0,0,152
CEE01,3,Late,2011,403,33,42,3,45,15,0,15,4,4,8,5,0,5,1,0,1,0,0,0,74
CEE01,3,Late,2011,404,34,41,1,42,14,0,14,0,1,1,4,0,4,0,0,0,0,0,0,61
CEE01,3,Late,2011,405,35,17,1,18,0,0,0,3,2,5,22,0,22,4,0,4,0,0,0,49
CEE01,3,Late,2011,406,36,12,4,16,44,5,49,0,5,5,10,9,19,0,0,0,0,0,0,89
CEE01,3,Late,2011,407,37,28,0,28,20,4,24,2,1,3,36,3,39,0,0,0,0,0,0,94
CEE01,3,Late,2011,408,38,49,0,49,5,0,5,0,2,2,21,1,22,4,0,4,0,0,0,82
CEE01,3,Late,2011,409,39,40,2,42,0,0,0,5,0,5,36,1,37,1,0,1,0,0,0,85
CEE01,3,Late,2011,410,40,40,1,41,1,0,1,3,0,3,10,0,10,5,0,5,0,0,0,60
CEE01,3,early,2012,101,1,62,0,62,7,0,7,6,0,6,20,0,20,4,0,4,0,0,0,99
CEE01,3,early,2012,102,2,46,2,48,17,0,17,6,0,6,0,0,0,5,0,5,0,0,0,76
CEE01,3,early,2012,103,3,92,0,92,3,0,3,6,0,6,11,0,11,2,0,2,0,0,0,114
CEE01,3,early,2012,104,4,3,0,3,15,0,15,20,0,20,2,0,2,1,0,1,0,0,0,41
CEE01,3,early,2012,105,5,15,0,15,12,0,12,10,1,11,0,0,0,0,0,0,0,0,0,38
CEE01,3,early,2012,106,6,15,0,15,34,0,34,10,0,10,9,0,9,1,0,1,0,0,0,69
CEE01,3,early,2012,107,7,40,0,40,29,1,30,5,0,5,0,0,0,5,0,5,0,0,0,80
CEE01,3,early,2012,108,8,30,0,30,47,0,47,4,0,4,21,0,21,2,0,2,0,0,0,104
CEE01,3,early,2012,109,9,12,0,12,21,0,21,8,0,8,17,0,17,4,0,4,0,0,0,62
CEE01,3,early,2012,110,10,11,0,11,36,1,37,4,0,4,55,1,56,3,0,3,0,0,0,111
CEE01,3,early,2012,201,11,81,16,97,20,0,20,0,0,0,28,0,28,0,0,0,0,0,0,145
CEE01,3,early,2012,202,12,98,2,100,19,1,20,1,0,1,1,0,1,2,0,2,0,0,0,124
CEE01,3,early,2012,203,13,67,1,68,0,0,0,3,0,3,4,0,4,3,0,3,0,0,0,78
CEE01,3,early,2012,204,14,44,0,44,13,0,13,0,0,0,4,0,4,3,0,3,0,0,0,64
CEE01,3,early,2012,205,15,55,1,56,11,0,11,2,0,2,27,0,27,2,0,2,0,0,0,98
CEE01,3,early,2012,206,16,38,0,38,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,41
CEE01,3,early,2012,207,17,49,0,49,70,0,70,0,0,0,9,0,9,9,0,9,0,0,0,137
CEE01,3,early,2012,208,18,31,0,31,4,0,4,3,0,3,2,0,2,5,0,5,0,0,0,45
CEE01,3,early,2012,209,19,17,0,17,21,0,21,1,0,1,41,0,41,5,0,5,0,0,0,85
CEE01,3,early,2012,210,20,38,0,38,3,0,3,13,0,13,3,0,3,0,0,0,0,0,0,57
CEE01,3,early,2012,301,21,86,0,86,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,91
CEE01,3,early,2012,302,22,60,1,61,9,1,10,2,0,2,9,0,9,7,0,7,0,0,0,89
CEE01,3,early,2012,303,23,57,0,57,0,0,0,7,0,7,24,0,24,11,0,11,0,0,0,99
CEE01,3,early,2012,304,24,29,2,31,21,1,22,8,0,8,17,0,17,4,0,4,0,0,0,82
CEE01,3,early,2012,305,25,45,0,45,20,0,20,8,0,8,43,0,43,5,0,5,0,0,0,121
CEE01,3,early,2012,306,26,20,0,20,0,0,0,11,0,11,12,0,12,8,0,8,0,0,0,51
CEE01,3,early,2012,307,27,19,1,20,18,0,18,7,0,7,7,0,7,8,0,8,7,0,7,67
CEE01,3,early,2012,308,28,37,0,37,88,0,88,11,0,11,13,0,13,0,0,0,1,0,1,150
CEE01,3,early,2012,309,29,44,0,44,44,0,44,7,0,7,11,0,11,2,0,2,5,0,5,113
CEE01,3,early,2012,310,30,41,0,41,69,0,69,7,0,7,13,0,13,1,0,1,0,0,0,131
CEE01,3,early,2012,401,31,68,1,69,22,,22,12,,12,10,0,10,0,0,0,0,0,0,113
CEE01,3,early,2012,402,32,107,0,107,56,0,56,0,0,0,34,0,34,1,0,1,0,0,0,198
CEE01,3,early,2012,403,33,87,2,89,19,0,19,1,0,1,7,0,7,0,0,0,0,0,0,116
CEE01,3,early,2012,404,34,74,0,74,29,0,29,0,0,0,9,0,9,0,0,0,0,0,0,112
CEE01,3,early,2012,405,35,25,0,25,0,0,0,0,0,0,46,0,46,8,0,8,0,0,0,79
CEE01,3,early,2012,406,36,34,1,35,88,0,88,0,0,0,22,0,22,1,0,1,0,0,0,146
CEE01,3,early,2012,407,37,45,0,45,47,0,47,0,0,0,29,0,29,0,0,0,0,0,0,121
CEE01,3,early,2012,408,38,52,0,52,10,0,10,0,0,0,30,2,32,5,0,5,0,0,0,99
CEE01,3,early,2012,409,39,108,1,109,0,0,0,2,0,2,14,0,14,3,0,3,0,0,0,128
CEE01,3,early,2012,410,40,98,0,98,11,0,11,1,0,1,15,1,16,2,0,2,0,0,0,128
CEE01,3,late,2012,101,1,23,1,24,5,0,5,3,0,3,16,0,16,2,0,2,0,0,0,50
CEE01,3,late,2012,102,2,38,0,38,15,2,17,10,0,10,0,0,0,0,0,0,0,0,0,65
CEE01,3,late,2012,103,3,51,1,52,1,1,2,6,0,6,8,0,8,2,0,2,0,0,0,70
CEE01,3,late,2012,104,4,2,0,2,16,2,18,12,0,12,1,0,1,0,0,0,0,0,0,33
CEE01,3,late,2012,105,5,9,0,9,10,3,13,11,0,11,0,0,0,0,0,0,0,0,0,33
CEE01,3,late,2012,106,6,15,0,15,26,0,26,12,0,12,14,0,14,0,0,0,0,0,0,67
CEE01,3,late,2012,107,7,28,1,29,34,1,35,4,0,4,0,2,2,0,0,0,0,0,0,70
CEE01,3,late,2012,108,8,18,0,18,35,0,35,6,0,6,3,0,3,2,0,2,0,0,0,64
CEE01,3,late,2012,109,9,7,0,7,24,0,24,5,0,5,7,0,7,0,0,0,0,0,0,43
CEE01,3,late,2012,110,10,8,0,8,33,0,33,5,0,5,45,8,53,0,0,0,0,0,0,99
CEE01,3,late,2012,201,11,42,1,43,10,0,10,0,0,0,24,0,24,0,0,0,0,0,0,77
CEE01,3,late,2012,202,12,46,2,48,16,1,17,1,0,1,3,0,3,0,0,0,0,0,0,69
CEE01,3,late,2012,203,13,42,0,42,0,0,0,3,4,7,1,0,1,0,0,0,0,0,0,50
CEE01,3,late,2012,204,14,26,0,26,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,49
CEE01,3,late,2012,205,15,34,0,34,7,0,7,2,0,2,17,1,18,2,0,2,0,0,0,63
CEE01,3,late,2012,206,16,37,0,37,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,40
CEE01,3,late,2012,207,17,26,0,26,67,0,67,0,0,0,1,0,1,3,0,3,0,0,0,97
CEE01,3,late,2012,208,18,17,2,19,4,0,4,5,0,5,1,0,1,2,0,2,0,0,0,31
CEE01,3,late,2012,209,19,12,0,12,42,0,42,0,0,0,27,0,27,1,0,1,0,0,0,82
CEE01,3,late,2012,210,20,20,1,21,5,0,5,7,1,8,2,0,2,0,0,0,0,0,0,36
CEE01,3,late,2012,301,21,49,1,50,0,0,0,1,0,1,2,0,2,2,0,2,0,0,0,55
CEE01,3,late,2012,302,22,36,0,36,12,1,13,2,0,2,13,0,13,2,0,2,0,0,0,66
CEE01,3,late,2012,303,23,58,0,58,1,0,1,5,0,5,9,1,10,3,0,3,0,0,0,77
CEE01,3,late,2012,304,24,24,1,25,17,0,17,6,9,15,1,3,4,0,0,0,0,0,0,61
CEE01,3,late,2012,305,25,40,0,40,21,2,23,5,0,5,33,0,33,5,0,5,0,0,0,106
CEE01,3,late,2012,306,26,13,1,14,0,0,0,10,1,11,11,0,11,4,0,4,0,0,0,40
CEE01,3,late,2012,307,27,18,0,18,11,0,11,6,0,6,4,0,4,1,0,1,5,0,5,45
CEE01,3,late,2012,308,28,20,0,20,83,6,89,11,0,11,14,0,14,0,0,0,1,0,1,135
CEE01,3,late,2012,309,29,39,3,42,32,1,33,5,0,5,8,0,8,2,0,2,4,0,4,94
CEE01,3,late,2012,310,30,25,0,25,82,3,85,3,0,3,8,1,9,0,0,0,0,0,0,122
CEE01,3,late,2012,401,31,42,0,42,10,0,10,10,1,11,2,0,2,0,0,0,0,0,0,65
CEE01,3,late,2012,402,32,43,2,45,84,2,86,0,0,0,43,0,43,2,0,2,0,0,0,176
CEE01,3,late,2012,403,33,42,0,42,27,0,27,2,12,14,1,0,1,0,0,0,0,0,0,84
CEE01,3,late,2012,404,34,50,0,50,21,0,21,0,0,0,6,1,7,0,0,0,0,0,0,78
CEE01,3,late,2012,405,35,19,0,19,0,0,0,0,0,0,27,2,29,3,0,3,0,0,0,51
CEE01,3,late,2012,406,36,26,0,26,85,0,85,0,0,0,16,1,17,0,0,0,0,0,0,128
CEE01,3,late,2012,407,37,42,0,42,36,0,36,0,30,30,1,0,1,0,0,0,0,0,0,109
CEE01,3,late,2012,408,38,46,0,46,2,0,2,3,0,3,20,3,23,0,0,0,0,0,0,74
CEE01,3,late,2012,409,39,61,0,61,4,0,4,4,0,4,35,0,35,0,0,0,0,0,0,104
CEE01,3,late,2012,410,40,54,1,55,15,0,15,1,0,1,9,0,9,3,0,3,0,0,0,83
CEE01,3,early,2013,101,1,51,0,51,12,0,12,7,0,7,25,0,25,7,0,7,0,0,0,102
CEE01,3,early,2013,102,2,61,0,61,11,0,11,5,0,5,0,0,0,7,0,7,0,0,0,84
CEE01,3,early,2013,103,3,84,0,84,0,0,0,8,0,8,6,0,6,1,0,1,0,0,0,99
CEE01,3,early,2013,104,4,3,0,3,12,0,12,15,0,15,0,0,0,0,0,0,0,0,0,30
CEE01,3,early,2013,105,5,14,0,14,7,0,7,9,0,9,0,0,0,0,0,0,0,0,0,30
CEE01,3,early,2013,106,6,16,0,16,8,0,8,11,0,11,18,0,18,0,0,0,0,0,0,53
CEE01,3,early,2013,107,7,49,0,49,33,0,33,3,0,3,0,0,0,4,0,4,0,0,0,89
CEE01,3,early,2013,108,8,36,0,36,33,0,33,6,0,6,5,0,5,0,0,0,0,0,0,80
CEE01,3,early,2013,109,9,19,0,19,19,0,19,3,0,3,17,0,17,0,0,0,0,0,0,58
CEE01,3,early,2013,110,10,15,0,15,17,0,17,4,0,4,42,0,42,0,0,0,0,0,0,78
CEE01,3,early,2013,201,11,58,0,58,14,0,14,1,0,1,25,0,25,2,0,2,0,0,0,100
CEE01,3,early,2013,202,12,70,0,70,5,0,5,3,0,3,0,0,0,10,0,10,0,0,0,88
CEE01,3,early,2013,203,13,69,0,69,0,0,0,4,0,4,7,0,7,4,0,4,0,0,0,84
CEE01,3,early,2013,204,14,40,0,40,11,0,11,0,0,0,11,0,11,11,0,11,0,0,0,73
CEE01,3,early,2013,205,15,57,0,57,6,0,6,2,0,2,17,0,17,4,0,4,0,0,0,86
CEE01,3,early,2013,206,16,37,1,38,0,0,0,4,0,4,1,0,1,1,0,1,0,0,0,44
CEE01,3,early,2013,207,17,18,0,18,67,0,67,1,0,1,0,0,0,17,0,17,0,0,0,103
CEE01,3,early,2013,208,18,33,0,33,8,0,8,2,0,2,1,0,1,4,0,4,1,0,1,49
CEE01,3,early,2013,209,19,52,0,52,19,0,19,1,0,1,29,0,29,3,0,3,0,0,0,104
CEE01,3,early,2013,210,20,26,0,26,7,0,7,6,0,6,0,0,0,0,0,0,0,0,0,39
CEE01,3,early,2013,301,21,61,0,61,0,0,0,1,0,1,8,0,8,7,0,7,0,0,0,77
CEE01,3,early,2013,302,22,34,0,34,8,0,8,1,0,1,15,0,15,3,0,3,0,0,0,61
CEE01,3,early,2013,303,23,58,0,58,2,0,2,6,0,6,7,0,7,0,0,0,0,0,0,73
CEE01,3,early,2013,304,24,32,0,32,1,0,1,7,0,7,21,0,21,2,0,2,0,0,0,63
CEE01,3,early,2013,305,25,28,0,28,16,0,16,5,0,5,18,0,18,1,0,1,0,0,0,68
CEE01,3,early,2013,306,26,21,0,21,0,0,0,5,0,5,13,0,13,3,0,3,0,0,0,42
CEE01,3,early,2013,307,27,34,0,34,0,0,0,5,0,5,2,0,2,2,0,2,4,0,4,47
CEE01,3,early,2013,308,28,54,0,54,19,0,19,10,0,10,9,0,9,0,0,0,3,0,3,95
CEE01,3,early,2013,309,29,54,0,54,39,0,39,4,0,4,4,0,4,3,0,3,4,0,4,108
CEE01,3,early,2013,310,30,30,0,30,45,0,45,6,0,6,16,0,16,0,0,0,0,0,0,97
CEE01,3,early,2013,401,31,56,0,56,11,0,11,5,0,5,6,0,6,0,0,0,0,0,0,78
CEE01,3,early,2013,402,32,73,0,73,45,0,45,0,0,0,54,0,54,1,0,1,0,0,0,173
CEE01,3,early,2013,403,33,98,0,98,12,0,12,1,0,1,3,0,3,1,0,1,0,0,0,115
CEE01,3,early,2013,404,34,78,0,78,18,0,18,0,0,0,8,0,8,0,0,0,0,0,0,104
CEE01,3,early,2013,405,35,50,0,50,0,0,0,0,0,0,40,0,40,9,0,9,0,0,0,99
CEE01,3,early,2013,406,36,85,0,85,11,0,11,0,0,0,22,0,22,4,0,4,0,0,0,122
CEE01,3,early,2013,407,37,72,0,72,3,0,3,0,0,0,45,0,45,0,0,0,0,0,0,120
CEE01,3,early,2013,408,38,77,0,77,0,0,0,0,0,0,28,0,28,6,0,6,0,0,0,111
CEE01,3,early,2013,409,39,67,0,67,0,0,0,4,0,4,18,0,18,5,0,5,0,0,0,94
CEE01,3,early,2013,410,40,53,0,53,7,0,7,2,0,2,4,0,4,8,0,8,0,0,0,74
CEE01,3,late,2013,101,1,38,0,38,20,0,20,4,0,4,16,0,16,2,0,2,0,0,0,80
CEE01,3,late,2013,102,2,35,0,35,19,0,19,5,0,5,0,0,0,0,0,0,0,0,0,59
CEE01,3,late,2013,103,3,68,0,68,12,0,12,6,0,6,8,0,8,0,0,0,0,0,0,94
CEE01,3,late,2013,104,4,5,0,5,34,0,34,8,0,8,3,0,3,0,0,0,0,0,0,50
CEE01,3,late,2013,105,5,12,2,14,11,0,11,6,0,6,0,0,0,0,0,0,0,0,0,31
CEE01,3,late,2013,106,6,14,0,14,0,0,0,13,0,13,7,0,7,0,0,0,0,0,0,34
CEE01,3,late,2013,107,7,26,0,26,40,0,40,4,0,4,0,0,0,1,0,1,0,0,0,71
CEE01,3,late,2013,108,8,15,0,15,47,0,47,2,0,2,5,0,5,0,0,0,0,0,0,69
CEE01,3,late,2013,109,9,10,0,10,28,1,29,2,0,2,14,0,14,0,0,0,0,0,0,55
CEE01,3,late,2013,110,10,22,0,22,18,0,18,4,0,4,23,0,23,1,0,1,0,0,0,68
CEE01,3,late,2013,201,11,49,0,49,6,0,6,1,0,1,30,0,30,0,0,0,0,0,0,86
CEE01,3,late,2013,202,12,60,0,60,9,0,9,1,0,1,2,0,2,9,0,9,0,0,0,81
CEE01,3,late,2013,203,13,36,0,36,0,0,0,4,0,4,7,0,7,2,0,2,0,0,0,49
CEE01,3,late,2013,204,14,29,0,29,17,0,17,0,0,0,4,1,5,6,0,6,0,0,0,57
CEE01,3,late,2013,205,15,35,0,35,10,0,10,1,0,1,23,0,23,3,0,3,0,0,0,72
CEE01,3,late,2013,206,16,35,1,36,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,40
CEE01,3,late,2013,207,17,17,0,17,65,0,65,1,0,1,3,0,3,16,0,16,0,0,0,102
CEE01,3,late,2013,208,18,21,0,21,11,0,11,1,0,1,1,0,1,5,0,5,0,0,0,39
CEE01,3,late,2013,209,19,29,0,29,52,0,52,2,0,2,28,1,29,1,0,1,0,0,0,113
CEE01,3,late,2013,210,20,25,0,25,8,0,8,9,0,9,0,0,0,0,0,0,0,0,0,42
CEE01,3,late,2013,301,21,57,0,57,0,0,0,1,0,1,7,0,7,2,0,2,0,0,0,67
CEE01,3,late,2013,302,22,29,0,29,24,0,24,2,0,2,5,0,5,2,0,2,0,0,0,62
CEE01,3,late,2013,303,23,52,0,52,5,0,5,5,0,5,10,0,10,0,0,0,0,0,0,72
CEE01,3,late,2013,304,24,23,0,23,3,0,3,2,0,2,12,0,12,2,0,2,0,0,0,42
CEE01,3,late,2013,305,25,23,0,23,17,0,17,4,0,4,36,1,37,0,0,0,0,0,0,81
CEE01,3,late,2013,306,26,15,0,15,0,0,0,5,0,5,12,0,12,0,0,0,0,0,0,32
CEE01,3,late,2013,307,27,23,0,23,13,0,13,3,0,3,3,0,3,0,0,0,3,0,3,45
CEE01,3,late,2013,308,28,43,0,43,27,0,27,8,0,8,17,0,17,0,0,0,3,0,3,98
CEE01,3,late,2013,309,29,35,1,36,31,0,31,4,0,4,6,0,6,4,0,4,2,0,2,83
CEE01,3,late,2013,310,30,27,0,27,26,3,29,4,0,4,24,0,24,0,0,0,0,0,0,84
CEE01,3,late,2013,401,31,39,0,39,5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,50
CEE01,3,late,2013,402,32,54,2,56,58,0,58,0,0,0,54,0,54,0,0,0,0,0,0,168
CEE01,3,late,2013,403,33,67,0,67,9,0,9,1,0,1,5,0,5,0,0,0,0,0,0,82
CEE01,3,late,2013,404,34,64,0,64,16,0,16,0,0,0,6,0,6,0,0,0,0,0,0,86
CEE01,3,late,2013,405,35,33,0,33,4,0,4,0,0,0,27,0,27,5,0,5,0,0,0,69
CEE01,3,late,2013,406,36,48,1,49,41,1,42,0,0,0,9,0,9,2,1,3,0,0,0,103
CEE01,3,late,2013,407,37,29,0,29,13,0,13,0,0,0,35,0,35,0,0,0,0,0,0,77
CEE01,3,late,2013,408,38,59,0,59,2,0,2,0,0,0,19,0,19,2,0,2,0,0,0,82
CEE01,3,late,2013,409,39,56,1,57,0,0,0,4,0,4,12,0,12,1,0,1,0,0,0,74
CEE01,3,late,2013,410,40,8,0,8,14,0,14,1,0,1,10,0,10,2,0,2,0,0,0,35
